lote,name,padrillo,madre,haras,link
1,TWEEDIA,FORTIFY,TWILA,Santa Inés,remates/listado/102
2,ENUNCIATIVA,FORTIFY,ENUNCIADA,Santa Inés,remates/listado/102
3,BALANTRIA,HURRICANE CAT,BASKA HERMOSA,Santa Inés,remates/listado/102
4,MISS ALLURE,EQUAL STRIPES,MISS CHIC,Santa Inés,remates/listado/102
5,QUEEN ARETHA,IL CAMPIONE,QUEEN HALO,Santa Inés,remates/listado/102
6,ESLOVENIA,HURRICANE CAT,ANNABELLE,Santa Inés,remates/listado/102
7,QUEEN DARIA,IL CAMPIONE,QUEEN DORIA,Santa Inés,remates/listado/102
8,QUEEN HAYFA,EQUAL STRIPES,QUEEN NOOR,Santa Inés,remates/listado/102
9,ARISA,ORPEN,ASPEN DAYS,Santa Inés,remates/listado/102
10,BASKA LINDA,EQUAL STRIPES,BASKA HERMOSA,Santa Inés,remates/listado/102
11,JOYA GAUCHA,EXCHANGE RATE,JOYA SURERA,Santa Inés,remates/listado/102
12,CASSIA ANTICA,CATCHER IN THE RYE,COSTA MAYA,Santa Inés,remates/listado/102
13,FOR MY LADY,CATCHER IN THE RYE,FOREVER INDY,Santa Inés,remates/listado/102
14,LA REPRISE,ORPEN,LA COMPADRADA,Santa Inés,remates/listado/102
15,MARINA BEACH,HI HAPPY,MARINA AZUL,Santa Inés,remates/listado/102
16,KATALIN,IL CAMPIONE,KATY ROSE,Santa Inés,remates/listado/102
17,SHERAH,EXCHANGE RATE,SIFRA,Santa Inés,remates/listado/102
18,LARIANA,EXCHANGE RATE,LUNA LIBRE,Santa Inés,remates/listado/102
19,ASPEN ROSE,JOHN F KENNEDY,ASPEN DAYS,Santa Inés,remates/listado/102
20,HALLOWEEN NIGHT,JUMP START,HALLOWEEN DANCE,Santa Inés,remates/listado/102
21,SIBERIAN ROSE,EXCHANGE RATE,SIBERINA,Santa Inés,remates/listado/102
22,FIDENZA,PUERTO ESCONDIDO,POLOMA,Santa Inés,remates/listado/102
23,ART ACADEMY,PUERTO ESCONDIDO,ARTISTICA,Santa Inés,remates/listado/102
24,MERHAVIA,PUERTO ESCONDIDO,MACAMBARA,Santa Inés,remates/listado/102
25,BASKA HERMOSA,ENGRILLADO,DARK BEAUTY,Santa Inés,remates/listado/102
26,SIFRA,SOUTHERN HALO,MY PALESTINA,Santa Inés,remates/listado/102
27,MAGNETIC FILLY,ORPEN,MELCA,Santa Inés,remates/listado/102
28,QUEEN NOOR,SOUTHERN HALO,QUENDOM,Santa Inés,remates/listado/102
29,ALZEHBA (USA),ELUSIVE QUALITY,AQAARID,Santa Inés,remates/listado/102
30,LA COMPADRADA,POTRILLON,LA PORTEÑA,Santa Inés,remates/listado/102
1,EARLY TRIGGER (ARG),COSMIC TRIGGER,EARLY START,La Esperanza,remates/listado/101
2,SOÑADORA CANDY (ARG),SEÑOR CANDY,SANAMIA,La Esperanza,remates/listado/101
3,SARAGOSSA CANDY (ARG),SEÑOR CANDY,SARAGOSSA,La Esperanza,remates/listado/101
4,ESTRUENDO (ARG),TREASURE BEACH,ESTIMADORA,La Esperanza,remates/listado/101
5,LITIGADA (ARG),SEÑOR CANDY,LUMINOSA ES,La Esperanza,remates/listado/101
6,LATERAL SCAPE (ARG),CITYSCAPE,LA VENTURANZA,La Esperanza,remates/listado/101
7,ELEVADISIMO (ARG),SUGGESTIVE BOY,ELEGANTE PRINCESA,La Esperanza,remates/listado/101
8,IN YOUR MIND (ARG),PNEUMATIC,INDIA DEL NORTE,La Esperanza,remates/listado/101
9,EL GUIONISTA (ARG),CITYSCAPE,ENMENDADORA,La Esperanza,remates/listado/101
10,ACCIONADO BOY (ARG),SUGGESTIVE BOY,ACCIONADORA,La Esperanza,remates/listado/101
11,EPIK GIRL (ARG),SUGGESTIVE BOY,EPIKA,La Esperanza,remates/listado/101
12,SANSA (ARG),NICHOLAS,SASSY DUBAI,La Esperanza,remates/listado/101
13,LICITADOR (ARG),FORGE,LITURGIA ASIATICA,La Esperanza,remates/listado/101
14,SPICY LADY (ARG),NICHOLAS,SPICE LADY,La Esperanza,remates/listado/101
15,SAHARAN STAR (ARG),LUCULLAN,SAHARAN LADY,La Esperanza,remates/listado/101
16,EJECUTORA (ARG),FORGE,ESPECULADORA,La Esperanza,remates/listado/101
17,SOUND LADY (ARG),NICHOLAS,SAGADORA,La Esperanza,remates/listado/101
18,ICE STAR (ARG),NICHOLAS,ICY GIRL,La Esperanza,remates/listado/101
