title,href,start,end,source
VENTA TRAINING - HARAS FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes,2025-03-17,2025-03-17,Bullrich
REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASIÓN,/remates/venta-training-haras-firmamento-1/lotes,2025-03-27,2025-03-27,Bullrich
COPA BULLRICH ABRIL,/remates/venta-training-haras-firmamento-1/lotes,2025-04-10,2025-04-10,Bullrich
GRAN VENTA SELECCIÓN - HARAS FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes,2025-04-22,2025-04-22,Bullrich
REMATE SELECCIÓN - HARAS LA PASIÓN,/remates/venta-training-haras-firmamento-1/lotes,2025-04-24,2025-04-24,Bullrich
COPA BULLRICH MAYO,/remates/venta-training-haras-firmamento-1/lotes,2025-05-15,2025-05-15,Bullrich
VENTA MIXTA MAYO,/remates/venta-training-haras-firmamento-1/lotes,2025-05-28,2025-05-28,Bullrich
GRAN VENTA POTRANCAS - HARAS FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes,2025-06-24,2025-06-24,Bullrich
Haras GRAN MUÑECA,/remates/view/343,Jue 13 Mar 00:00hs,Dom 16 Mar 17:00hs,argsales
Haras VACACIÓN,/remates/view/342,Mie 26 Mar 00:00hs,Sáb 29 Mar 16:00hs,argsales
Haras ABOLENGO,/remates/view/344,Dom 06 Abr 00:00hs,Mts 08 Abr 16:00hs,argsales
Haras SANTA MARÍA DE ARARAS,/remates/view/345,Jue 10 Abr 00:00hs,Dom 13 Abr 17:00hs,argsales
Haras VACACIÓN,/remates/view/348,Dom 20 Abr 00:00hs,Mie 23 Abr 18:00hs,argsales
Haras EL PARAÍSO,/remates/view/346,Sáb 26 Abr 12:00hs,Sáb 26 Abr 12:00hs,argsales
Haras ABOLENGO,/remates/view/347,Dom 27 Abr 00:00hs,Mts 29 Abr 18:00hs,argsales
HARAS LA GENERACIÓN - LIQUIDACIÓN TOTAL,/remates/view/356,Jue 08 May 00:00hs,Dom 11 May 16:00hs,argsales
Haras LA ESPERANZA,/remates/view/353,Jue 15 May 00:00hs,Dom 18 May 17:00hs,argsales
Haras POZO DE LUNA,/remates/view/349,Lun 19 May 00:00hs,Jue 22 May 18:00hs,argsales
Haras SANTA INÉS,/remates/view/350,Jue 29 May 00:00hs,Dom 01 Jun 18:00hs,argsales
Haras CARAMPANGUE,/remates/view/355,Sáb 07 Jun 00:00hs,Mts 10 Jun 17:00hs,argsales
Haras ABOLENGO,/remates/view/352,Dom 29 Jun 00:00hs,Mts 01 Jul 17:00hs,argsales
Haras VACACIÓN,/remates/view/351,Jue 03 Jul 00:00hs,Dom 06 Jul 16:00hs,argsales
VENTA TRAINING - HARAS FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes,2025-03-17,2025-03-17,Bullrich
REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASIÓN,/remates/venta-training-haras-firmamento-1/lotes,2025-03-27,2025-03-27,Bullrich
COPA BULLRICH ABRIL,/remates/venta-training-haras-firmamento-1/lotes,2025-04-10,2025-04-10,Bullrich
GRAN VENTA SELECCIÓN - HARAS FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes,2025-04-22,2025-04-22,Bullrich
REMATE SELECCIÓN - HARAS LA PASIÓN,/remates/venta-training-haras-firmamento-1/lotes,2025-04-24,2025-04-24,Bullrich
COPA BULLRICH MAYO,/remates/venta-training-haras-firmamento-1/lotes,2025-05-15,2025-05-15,Bullrich
VENTA MIXTA MAYO,/remates/venta-training-haras-firmamento-1/lotes,2025-05-28,2025-05-28,Bullrich
GRAN VENTA POTRANCAS - HARAS FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes,2025-06-24,2025-06-24,Bullrich
